tort #,id,Insc #,tort #,rarity score,rank
199,c07fff8d8fab184c74d1990c71a7537b96cc3d7cda62ad3cc10e546ea3c26bcai0,40545,199,113.4,470
200,d0c1050d408cbf2e225922d6e1e8542e92716fdd402cc0c9ab61e8a87ae02741i0,45473,200,85.8,45
201,3660252260b55c11013591d916d0378da94a3f56540930ae753f76bdd5e9006fi0,45476,201,121.8,536
202,3b93bedfb786b43bc8ba1cba06bb6ddf5eebbe98ee4e5d0f3133922c3682e892i0,46156,202,93.48,110
203,4fd205021f564602eb0e554ff9cf2cf0a183e1eaa800e9f17ccbc04867f53a42i0,40165,203,108.8,379
204,267ce05e725877753b900c0ed7ffdf09a8af307ae77e6620947de21e40e73623i0,38956,204,106.97,340
205,c25d69fb68e571bd8d89b8ec4a33f76fefbe4912c64b1d3be8b7c905ca7f40b5i0,40523,205,106.6,335
206,302ce7eeabfb3a56c847d296658ec44f88f54339e36052196da60986d5f35ca6i0,45756,206,110.58,419
207,338e718681babb2458d95a818b25b1bbecec527ba1964aa564ea728ce8de4887i0,40168,207,124.4,549
208,1aa2132629e38fcf66d787d27d28df50b2498510a71ca9c3a7d8d24975276b11i0,40119,208,97.47,150
209,82912bba5344253477d33b20b7283344f31a70dd1994ec146a1ca2760973ff6bi0,40132,209,105.26,300
210,40ace398f0777dd1b931d99b9b86d45a98932be09966edf0ae4a3998fa5de1cfi0,45695,210,93.4,109
211,82cd8acb8a687acb6a8890cf1766dbabaa7d16788fa308a678ca323c2146d86ei0,45621,211,109.8,404
212,2c1d2c955a7b0f13d3e0addb462fe7dc2ea0c19aff07c304abb53e9166c81255i0,39612,212,109.63,401
213,a742a75dbe287e34992e4ab32882438d65129bbb3e84f940985844051a0dd0dbi0,45416,213,107.73,358
214,1c8b20a6d2aa9989dd7eed0ae7e0acaa96664a5484f2941558131a93492fc0cei0,39619,214,114.38,479
215,2ceb9916eae3232b8e86f5ebe44338b594577f923014e650e9247d2ef2eb6e0fi0,40539,215,81,22
216,11f4c192a903002cf81219f41cdd2a7a35852adabb488cb958f49727e9008e55i0,45750,216,107.8,360
217,b9a490c24b7f176f19baf7b180cf78ce2f67de9c6b09c5d01e44f2ca38fcd5afi0,40040,217,89.8,77
218,26efbb297903924397dcc2074bcf39ce973685b0ff07fd205863cd659fe9a821i0,39935,218,111.4,434
219,d919e0617ce850c9351fd615419fdaf6dedfde6fa316f109b12a11f74104f1b9i0,39277,219,114.57,485
220,7a86596e16fed72370e0c12b9a503771a9823edcb3d814401f906ba0ba6fdf85i0,40135,220,85.5,44
221,341cc21d35a74b3d9a0a0a1b53e9091158071974e7d011d79ab9714820253156i0,45348,221,111.8,442
222,500d923d76507222ef7ab73cf2f3fdc9bae218065bb38f61bdfcbc3a8148bdc2i0,18110,222,116.6,516
223,270f458a3465489ecf04052e47865c3cc2c126b52a77bb476a7dfe8ab3599625i0,40158,223,106.4,326
224,c1d77f23390f9c6b24f4a3b799455ceb114bad438ded0d42215f1a90151c5594i0,40376,224,110,412
225,4d3dcb1bb623d87faf64071beb19dba1cac8ab818883e7a69af67b5baf328ba2i0,46157,225,99.18,173
226,bbdfbe4d65fba6fb69b5440695dd384757b03b4e097f1770d274b4ace9a5a52ci0,35784,226,108.2,368
227,5bc1246f0b53755fcc160a88678d4c2a4ce81d2242da091bf00bf0e0b5181874i0,46070,227,97.8,155
228,bf7f7ba17da0ca78524e25bea4130a92a57aa2d5668cdc70913ae1b52fcb42cdi0,40714,228,88.8,67
229,b387fad24b113f6eac34d382927b974dc1d706fda1653474cfc6dcde45114c3fi0,39261,229,105.07,295
230,758d928fdf2a6c33df897ba896d08ff18b792f7c60e2512d81d44e5796ea50dfi0,38982,230,107.4,352
231,47029e5d6e4a4d043e9e8322b376f55ab7a1e81601342f652670f581f1054b76i0,35567,231,121.4,534
232,6f024169a62fcd41026c9745e3ae43c654ee4a9990fee3ec083ac2b2039154d0i0,45412,232,106.6,336
233,41d0054c1b355adffd16a631bbfe8af9e0e059a77880ee37e21c007092d0d383i0,40134,233,82,28
234,0e1a290b2988226c050a234123b08b25452870eda9dfca9e900926de3e93fc8ei0,39158,234,114.95,493
235,454410e020b4296efe8f1889813166ffc8b0f1440f4137b3bc676685576cbf68i0,40332,235,114.38,480
236,c7f61bb57c6b8176dd490625e019e084974186e63b38180afa3bf82c57fa1c5ai0,40129,236,101.6,227
237,cdf8a8caca0c5988f216273d398f945918110cfbf9950bddfad7fc09d34eaa69i0,39613,237,98.99,172
238,408f9b58012af03b5f57a9e1fddfa3181d7661717cae3b69adf54bac9147c288i0,45479,238,99.94,188
239,f1bf17b3c762980f0f47c18388ac3852647a9be744db54fd761d1faf079542e6i0,45418,239,113.2,465
240,92582a3c37b97953fee9654c96167b1d4b47d4986c5e8de22d04772f3b00aa3ei0,38961,240,125.78,552
241,41a1d4386a0eba7b8c6df702a30f379fba2c2db3c2d9b693da31af8c5303e2dfi0,45955,241,100,192
242,87f5e08d7c1078531f7f7bd33235b362f415b256e41beeda02cc4455eb7367a5i0,38972,242,80.2,19
243,781a9060234d31eac387d46720e3c254ae06d7baf77113f24b173c8dfadb297bi0,39457,243,112.4,449
